Nama,Penghasilan(jt),Jumlah Anggota Keluarga,Tingkat Pendidikan,Dinding Rumah,Lantai Rumah,Atap Rumah,Sumber Penerangan(VA),Luas Lantai Rumah(m2),Sumber Mata Air,Pengeluaran Kebutuhan Pangan,Pengobatan Tenaga Medis,Pembelian Pakaian(/tahun),Kecamatan
"Karya Rahimah, S.T.",5,2,SD,Bambu,Keramik,Genteng,0.45,> 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
Martaka Wasita,8,6,S3,Tembok,Tanah,Seng,0.45,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Dalima Handayani,5,2,D3,Bambu,Semen,Rumbia,1.3,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan A
Tgk. Laila Putra,5,0,S3,Bambu,Semen,Asbes,0.45,< 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan C
Septi Manullang,4,6,S1,Kayu,Keramik,Asbes,6.6,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
dr. Putri Hutasoit,2,1,SD,Tembok,Semen,Seng,3.5,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan D
Cagak Pangestu,6,6,S2,Bambu,Kayu,Seng,6.6,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Kamila Uwais,1,7,D3,Tembok,Keramik,Seng,0.45,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
"Ayu Maulana, M.TI.",5,3,S1,Bambu,Keramik,Rumbia,6.6,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan C
Sari Anggriawan,10,3,S2,Tembok,Keramik,Asbes,3.5,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
"Drs. Dewi Latupono, S.E.",5,5,D3,Bambu,Tanah,Genteng,3.5,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Ivan Agustina,4,7,S3,Tembok,Semen,Asbes,0.45,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan D
"Ir. Jasmin Winarno, S.Gz",3,7,S2,Tembok,Semen,Rumbia,0.45,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
"Yessi Prayoga, S.Farm",9,5,S3,Kayu,Kayu,Seng,6.6,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan B
Ratna Sinaga,3,7,S1,Bambu,Keramik,Rumbia,1.3,> 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
Dalima Mahendra,8,5,SD,Tembok,Keramik,Genteng,0.45,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Mumpuni Halimah,8,6,SMP,Bambu,Kayu,Rumbia,6.6,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Reza Agustina,9,2,S3,Kayu,Kayu,Rumbia,0.45,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
"Tgk. Syahrini Susanti, M.Pd",1,5,S2,Kayu,Kayu,Genteng,3.5,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
Rahmi Safitri,7,5,Tidak Sekolah,Kayu,Kayu,Rumbia,0.45,< 8m,Sumur Galian,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
Hj. Ghaliyati Nainggolan,10,0,S2,Bambu,Tanah,Asbes,6.6,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Sutan Harsana Dongoran,9,2,D3,Tembok,Keramik,Asbes,3.5,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
dr. Wardi Mahendra,4,5,S1,Kayu,Keramik,Genteng,1.3,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan D
KH. Ibrahim Mayasari,1,4,S3,Kayu,Keramik,Asbes,0.45,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
Usyi Saptono,6,1,SMP,Bambu,Keramik,Rumbia,3.5,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
"Puti Ulva Latupono, S.Sos",3,5,SMA,Kayu,Tanah,Asbes,0.45,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Halim Hakim,5,3,SD,Bambu,Kayu,Genteng,1.3,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Iriana Uyainah,9,2,SMP,Tembok,Keramik,Asbes,3.5,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan D
"Cici Laksita, S.Pd",10,7,SMA,Bambu,Keramik,Rumbia,0.45,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
"Ir. Garang Pranowo, S.Pd",2,5,S3,Tembok,Keramik,Asbes,1.3,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Farah Anggraini,1,4,SMP,Bambu,Kayu,Seng,6.6,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Puput Utami,7,0,SD,Kayu,Keramik,Genteng,3.5,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
"Ina Lailasari, S.Pd",3,0,S1,Tembok,Tanah,Rumbia,3.5,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
Alika Widiastuti,5,7,S1,Kayu,Semen,Rumbia,1.3,< 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan D
Wirda Astuti,8,0,SMA,Tembok,Keramik,Rumbia,3.5,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Teddy Marpaung,8,3,D3,Tembok,Semen,Rumbia,6.6,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan A
Utama Laksmiwati,6,0,D3,Bambu,Semen,Rumbia,3.5,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
KH. Jais Wibowo,4,7,SMA,Tembok,Tanah,Seng,3.5,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Irma Prasetya,10,4,SMA,Kayu,Tanah,Asbes,3.5,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
Latif Waluyo,1,5,S1,Tembok,Semen,Rumbia,6.6,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Ade Napitupulu,4,4,SD,Kayu,Semen,Seng,6.6,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Zelaya Halim,7,7,SMP,Tembok,Keramik,Rumbia,6.6,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan D
Baktiono Susanti,10,6,SMA,Tembok,Kayu,Genteng,0.45,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
"KH. Galur Ramadan, S.H.",6,3,S1,Tembok,Keramik,Seng,6.6,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Manah Firgantoro,1,4,SMP,Tembok,Keramik,Rumbia,6.6,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
"Perkasa Marpaung, S.E.I",3,4,SD,Tembok,Keramik,Asbes,0.45,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
drg. Sari Hutagalung,4,0,S1,Tembok,Kayu,Asbes,0.45,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan D
Drs. Wage Farida,9,2,SMA,Bambu,Keramik,Genteng,1.3,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
"H. Prabawa Sirait, S.Psi",2,5,S1,Tembok,Tanah,Rumbia,0.45,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan D
"Jindra Prayoga, S.Pd",2,0,Tidak Sekolah,Kayu,Tanah,Genteng,3.5,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
Dina Hidayanto,8,0,SMP,Tembok,Kayu,Rumbia,0.45,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Betania Mustofa,4,7,SMP,Kayu,Kayu,Rumbia,3.5,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan B
T. Capa Manullang,10,7,S1,Bambu,Keramik,Genteng,0.45,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan D
Wakiman Mayasari,3,1,SMA,Kayu,Keramik,Rumbia,6.6,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Kania Zulaika,10,3,D3,Tembok,Keramik,Genteng,6.6,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan A
T. Vino Wahyuni,4,6,S1,Kayu,Tanah,Rumbia,1.3,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
"Sarah Tampubolon, M.M.",6,0,SMA,Bambu,Keramik,Rumbia,0.45,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
"Yunita Natsir, S.E.",4,0,SD,Bambu,Keramik,Seng,6.6,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
Respati Sitompul,2,6,S2,Tembok,Semen,Seng,3.5,> 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
"Lalita Nasyidah, S.Gz",7,2,D3,Tembok,Tanah,Asbes,1.3,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan A
Ajeng Firgantoro,1,6,SD,Kayu,Tanah,Genteng,0.45,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
Anita Hakim,6,5,D3,Tembok,Kayu,Asbes,1.3,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan A
Yuni Simanjuntak,1,7,SMA,Kayu,Semen,Asbes,0.45,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
"Tgk. Wardi Halimah, S.Pd",5,5,S2,Tembok,Tanah,Rumbia,1.3,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan B
Zizi Suartini,1,1,SMP,Kayu,Semen,Rumbia,6.6,< 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
Rahmi Kurniawan,7,2,SD,Bambu,Tanah,Genteng,6.6,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
Artawan Simbolon,7,2,Tidak Sekolah,Tembok,Kayu,Rumbia,3.5,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
Okta Mansur,9,4,SMA,Tembok,Kayu,Seng,1.3,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Mampu,Kecamatan B
R.A. Oliva Latupono,6,6,S2,Kayu,Semen,Genteng,3.5,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
Nurul Prakasa,1,4,SMA,Kayu,Semen,Seng,0.45,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
R.M. Gandewa Suwarno,2,0,D3,Kayu,Kayu,Genteng,0.45,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
dr. Bahuwarna Napitupulu,10,2,S2,Bambu,Kayu,Genteng,6.6,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan A
"Drs. Harimurti Prastuti, S.E.",5,5,Tidak Sekolah,Tembok,Semen,Asbes,6.6,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan B
Sutan Daliono Sinaga,2,7,S1,Bambu,Kayu,Asbes,1.3,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan A
Rika Prasetya,8,6,Tidak Sekolah,Kayu,Kayu,Rumbia,3.5,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan A
Dian Agustina,1,0,S3,Tembok,Keramik,Genteng,0.45,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Nabila Anggraini,2,6,SMP,Bambu,Semen,Rumbia,3.5,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Jayeng Laksmiwati,2,7,S1,Tembok,Tanah,Genteng,3.5,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Paris Putra,7,0,S2,Kayu,Tanah,Seng,1.3,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
"Kayla Lestari, S.E.",6,4,D3,Kayu,Tanah,Asbes,6.6,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan B
Vivi Habibi,2,0,S1,Tembok,Tanah,Rumbia,0.45,> 8m,Sumur Galian,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
"Lalita Adriansyah, M.TI.",4,0,S1,Kayu,Tanah,Asbes,6.6,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Maida Laksita,10,0,Tidak Sekolah,Kayu,Keramik,Asbes,1.3,< 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
Yance Safitri,10,4,Tidak Sekolah,Bambu,Tanah,Seng,1.3,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
"Kenes Maulana, S.Ked",7,0,SD,Kayu,Keramik,Genteng,0.45,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Lili Pertiwi,9,5,S3,Kayu,Keramik,Asbes,0.45,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan A
"Dr. Putri Winarno, S.T.",3,7,Tidak Sekolah,Kayu,Kayu,Seng,3.5,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Eli Mustofa,10,3,D3,Tembok,Kayu,Rumbia,6.6,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Drs. Dian Budiyanto,5,2,SMA,Bambu,Semen,Genteng,0.45,< 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan D
Nyana Saptono,8,3,S2,Kayu,Kayu,Genteng,3.5,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
Kania Pradipta,6,4,Tidak Sekolah,Bambu,Kayu,Asbes,3.5,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
"Unjani Pranowo, S.I.Kom",6,7,SMP,Bambu,Semen,Genteng,3.5,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Laila Siregar,5,6,S1,Bambu,Kayu,Rumbia,3.5,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Edison Pratama,7,5,S1,Kayu,Tanah,Asbes,1.3,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
"Rahmi Waskita, S.Farm",7,3,S1,Tembok,Semen,Asbes,3.5,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Ade Mansur,3,0,SD,Kayu,Keramik,Genteng,1.3,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
Jelita Prayoga,2,3,SD,Kayu,Keramik,Genteng,1.3,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan C
Galak Dongoran,10,2,SD,Tembok,Tanah,Genteng,0.45,< 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan A
Darijan Usada,6,2,Tidak Sekolah,Bambu,Keramik,Genteng,3.5,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan D
Gabriella Hutasoit,3,5,SMA,Kayu,Keramik,Genteng,0.45,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
"KH. Jono Pradipta, S.Farm",3,4,S2,Kayu,Tanah,Seng,1.3,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
"Ifa Rajata, S.Sos",7,1,D3,Bambu,Kayu,Rumbia,6.6,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
drg. Alambana Usamah,6,4,S1,Tembok,Kayu,Seng,0.45,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
dr. Kartika Sitompul,2,1,S3,Kayu,Kayu,Rumbia,0.45,< 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Warsita Wibowo,5,2,S2,Bambu,Keramik,Rumbia,6.6,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
Hafshah Saputra,7,5,S3,Bambu,Tanah,Genteng,6.6,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Ika Maulana,7,0,SMA,Bambu,Kayu,Genteng,1.3,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Kasiran Handayani,1,0,Tidak Sekolah,Kayu,Tanah,Genteng,0.45,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
Nadine Dabukke,8,5,SMP,Kayu,Tanah,Genteng,1.3,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Mampu,Kecamatan D
Mahmud Mangunsong,5,2,Tidak Sekolah,Kayu,Tanah,Rumbia,1.3,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Emin Prasasta,4,6,SMP,Tembok,Keramik,Seng,6.6,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
"Drs. Omar Firmansyah, M.Farm",5,4,S1,Tembok,Semen,Asbes,1.3,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan B
Nadine Nababan,7,3,S3,Bambu,Tanah,Seng,1.3,< 8m,Sumur Galian,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
R.A. Endah Anggraini,1,3,D3,Tembok,Tanah,Asbes,6.6,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Icha Tampubolon,5,3,SMA,Tembok,Tanah,Seng,1.3,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan D
Gilang Hastuti,5,5,S2,Kayu,Keramik,Genteng,1.3,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
dr. Dalimin Hasanah,9,3,SMP,Tembok,Kayu,Genteng,1.3,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Jaya Rahayu,6,0,SMP,Bambu,Kayu,Genteng,3.5,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
Uchita Adriansyah,7,5,D3,Tembok,Semen,Rumbia,3.5,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
"Alika Maryadi, S.I.Kom",3,6,SD,Tembok,Kayu,Seng,3.5,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan A
Latika Irawan,7,2,D3,Bambu,Keramik,Genteng,3.5,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
Laras Situmorang,4,2,SD,Kayu,Tanah,Genteng,1.3,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan C
"Shania Marbun, M.Farm",6,3,S3,Kayu,Semen,Genteng,3.5,> 8m,Sumur Pompa,Sebagian Kecil,Mampu,Mampu,Kecamatan C
Drs. Karimah Tamba,3,0,SMP,Bambu,Tanah,Seng,1.3,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan A
Salwa Mayasari,10,1,SD,Kayu,Kayu,Seng,1.3,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan C
R. Zulfa Siregar,9,7,SMA,Kayu,Keramik,Genteng,1.3,< 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Prakosa Wastuti,7,1,S1,Tembok,Tanah,Rumbia,1.3,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
Bagas Mulyani,4,4,S1,Bambu,Tanah,Asbes,6.6,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Umay Lazuardi,4,4,Tidak Sekolah,Kayu,Keramik,Asbes,6.6,> 8m,Sumur Galian,Sebagian Besar,Mampu,Mampu,Kecamatan B
Ghani Hariyah,5,0,SMA,Tembok,Keramik,Seng,6.6,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Raisa Haryanti,2,2,SMA,Kayu,Tanah,Genteng,3.5,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
"Dt. Ikhsan Permadi, S.I.Kom",3,0,SD,Bambu,Semen,Genteng,3.5,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan A
Faizah Uwais,5,0,SMP,Tembok,Semen,Rumbia,1.3,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan C
Drs. Kardi Marpaung,9,5,D3,Kayu,Semen,Seng,3.5,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
"Jumari Halim, S.T.",4,6,SMA,Bambu,Keramik,Seng,0.45,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Mulyanto Mandasari,6,4,S2,Kayu,Kayu,Rumbia,1.3,> 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan B
"Damu Jailani, S.Farm",9,0,SD,Kayu,Semen,Genteng,1.3,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
Farhunnisa Adriansyah,7,6,S2,Bambu,Tanah,Seng,3.5,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
"R.A. Raisa Permata, S.Farm",6,4,SD,Kayu,Tanah,Seng,3.5,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Sutan Samsul Usada,2,2,S1,Tembok,Kayu,Seng,1.3,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan D
Sidiq Utami,6,7,SMA,Kayu,Kayu,Rumbia,6.6,> 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
Carub Nainggolan,4,1,Tidak Sekolah,Tembok,Tanah,Rumbia,0.45,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Drs. Jamalia Hastuti,5,1,S1,Bambu,Tanah,Genteng,6.6,> 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
"R. Cemplunk Usamah, S.E.",6,2,S3,Bambu,Kayu,Genteng,0.45,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
Hj. Rahmi Utami,1,1,SMP,Kayu,Kayu,Asbes,6.6,> 8m,Sumur Pompa,Sebagian Kecil,Mampu,Mampu,Kecamatan A
"Nadine Rajata, S.I.Kom",3,4,S2,Tembok,Tanah,Seng,1.3,< 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
Galiono Thamrin,4,2,Tidak Sekolah,Bambu,Keramik,Seng,6.6,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
"Dadi Kurniawan, S.E.I",3,5,SMP,Bambu,Tanah,Asbes,3.5,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
Atmaja Prasasta,1,7,SMA,Tembok,Keramik,Seng,3.5,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Drs. Kadir Mandasari,7,1,D3,Bambu,Semen,Rumbia,1.3,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
"R. Lulut Permadi, S.Ked",4,4,Tidak Sekolah,Tembok,Tanah,Seng,3.5,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
"Wardi Pertiwi, S.Kom",4,1,SMP,Kayu,Semen,Seng,6.6,< 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan D
Galak Prasetyo,1,0,S3,Kayu,Kayu,Genteng,3.5,> 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan A
Belinda Suryono,4,1,SMA,Bambu,Semen,Genteng,3.5,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Hamzah Prasetyo,9,5,SD,Kayu,Semen,Genteng,0.45,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Maimunah Nababan,1,4,S3,Tembok,Keramik,Asbes,6.6,< 8m,Sumur Galian,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan C
Drs. Satya Tampubolon,7,3,S2,Kayu,Kayu,Seng,6.6,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
Jumadi Agustina,10,7,S2,Bambu,Keramik,Rumbia,1.3,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
KH. Pangestu Nasyidah,7,5,Tidak Sekolah,Tembok,Tanah,Rumbia,0.45,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
Yuliana Ramadan,2,6,S2,Bambu,Tanah,Genteng,3.5,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Zelaya Kuswoyo,5,3,S1,Kayu,Keramik,Seng,3.5,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan D
KH. Samsul Hutagalung,8,0,S1,Kayu,Tanah,Genteng,1.3,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Mampu,Kecamatan C
Taufik Budiman,2,0,Tidak Sekolah,Tembok,Kayu,Genteng,6.6,< 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
